index,py_P_elec,py_P_heat_60,py_P_heat_55,py_P_heat_50,py_m_hs_60,py_m_hs_55,py_m_hs_50,py_COP_60,py_COP_55,py_COP_50,py_V_60,py_V_55,py_V_50,py_V_total,py_T_return,py_P_heat_total,m_ges,T_avg,Time,ts_T_m
167,1.025,0.003,0.003,2.802,0.138,0.161,241.297,2.140,2.430,2.740,0.000,0.000,0.000,0.000,40.000,2.808,241.596,40.000,167.000,40.001
168,7.252,0.039,0.028,19.933,1.663,1.616,1716.327,2.160,2.440,2.760,0.002,0.001,1.473,1.476,40.000,20.000,1719.606,49.237,168.000,48.536
169,1.525,0.000,0.000,4.177,0.000,0.000,359.697,2.140,2.420,2.740,0.001,0.001,1.597,1.600,40.000,4.177,359.697,50.013,169.000,49.285
170,0.987,0.000,0.000,2.634,0.000,0.000,226.831,2.080,2.360,2.670,0.001,0.001,1.598,1.600,40.000,2.634,226.831,50.011,170.000,49.287
171,1.005,0.000,0.000,2.634,0.000,0.000,226.831,2.040,2.320,2.620,0.001,0.001,1.598,1.600,40.000,2.634,226.831,50.010,171.000,49.290
172,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.020,2.290,2.590,0.001,0.001,1.303,1.305,40.000,0.000,0.000,48.163,172.000,47.538
173,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.010,2.280,2.580,0.001,0.001,0.854,0.855,40.000,0.000,0.000,45.352,173.000,44.960
174,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.010,2.280,2.580,0.001,0.000,0.293,0.295,40.000,0.000,0.000,41.847,174.000,41.746
175,1.190,0.000,0.000,3.095,0.000,0.000,266.505,2.030,2.300,2.600,0.001,0.000,0.000,0.001,40.000,3.095,266.505,40.010,175.000,40.051
176,2.062,0.000,0.000,5.402,0.000,0.000,465.167,2.050,2.320,2.620,0.000,0.000,0.000,0.001,40.000,5.402,465.167,40.007,176.000,40.033
177,1.971,0.000,0.000,5.202,0.000,0.000,447.946,2.060,2.340,2.640,0.000,0.000,0.000,0.000,40.000,5.202,447.946,40.003,177.000,40.022
178,1.844,0.000,0.003,4.902,0.000,0.161,422.115,2.080,2.360,2.660,0.000,0.000,0.000,0.000,40.000,4.905,422.276,40.002,178.000,40.015
179,1.756,0.000,0.003,4.702,0.000,0.161,404.895,2.090,2.370,2.680,0.000,0.000,0.000,0.000,40.000,4.705,405.055,40.000,179.000,40.010
180,1.645,0.003,0.003,4.402,0.138,0.161,379.063,2.090,2.370,2.680,0.000,0.000,0.000,0.000,40.000,4.408,379.362,40.000,180.000,40.007
181,7.408,0.003,0.003,19.994,0.138,0.161,1721.559,2.100,2.380,2.700,0.000,0.000,1.358,1.358,40.000,20.000,1721.858,48.485,181.000,47.214
182,2.874,0.068,0.060,7.576,2.923,3.416,652.287,2.100,2.380,2.690,0.003,0.003,1.594,1.600,40.000,7.703,658.626,50.028,182.000,48.711
183,1.742,0.000,0.000,4.634,0.000,0.000,399.037,2.080,2.360,2.660,0.003,0.003,1.594,1.600,40.000,4.634,399.037,50.026,183.000,48.715
184,1.907,0.000,0.000,5.034,0.000,0.000,433.479,2.060,2.330,2.640,0.003,0.003,1.595,1.600,40.000,5.034,433.479,50.025,184.000,48.719
185,1.967,0.000,0.000,5.134,0.000,0.000,442.089,2.040,2.310,2.610,0.002,0.003,1.595,1.600,40.000,5.134,442.089,50.023,185.000,48.724
186,2.206,0.000,0.000,5.734,0.000,0.000,493.752,2.030,2.300,2.600,0.002,0.003,1.595,1.600,40.000,5.734,493.752,50.022,186.000,48.728
187,2.253,0.000,0.000,5.834,0.000,0.000,502.362,2.020,2.290,2.590,0.002,0.002,1.595,1.600,40.000,5.834,502.362,50.021,187.000,48.733
188,2.416,0.000,0.000,6.234,0.000,0.000,536.804,2.010,2.280,2.580,0.002,0.002,1.596,1.600,40.000,6.234,536.804,50.019,188.000,48.737
189,2.309,0.000,0.000,5.934,0.000,0.000,510.973,2.000,2.270,2.570,0.002,0.002,1.596,1.600,40.000,5.934,510.973,50.018,189.000,48.742
190,1.381,0.000,0.000,3.534,0.000,0.000,304.324,1.990,2.260,2.560,0.002,0.002,1.596,1.600,40.000,3.534,304.324,50.016,190.000,48.746
191,1.190,0.000,0.000,3.034,0.000,0.000,261.272,1.980,2.250,2.550,0.002,0.002,1.597,1.600,40.000,3.034,261.272,50.015,191.000,48.750
192,1.116,0.000,0.000,2.834,0.000,0.000,244.052,1.980,2.240,2.540,0.001,0.002,1.597,1.600,40.000,2.834,244.052,50.014,192.000,48.755
193,1.081,0.000,0.000,2.734,0.000,0.000,235.441,1.970,2.230,2.530,0.001,0.001,1.597,1.600,40.000,2.734,235.441,50.012,193.000,48.759
194,1.204,0.000,0.000,3.034,0.000,0.000,261.273,1.960,2.220,2.520,0.001,0.001,1.598,1.600,40.000,3.034,261.273,50.011,194.000,48.764
195,1.209,0.000,0.000,3.034,0.000,0.000,261.273,1.950,2.220,2.510,0.001,0.001,1.598,1.600,40.000,3.034,261.273,50.010,195.000,48.768
196,1.334,0.000,0.000,3.334,0.000,0.000,287.104,1.950,2.210,2.500,0.001,0.001,1.598,1.600,40.000,3.334,287.104,50.008,196.000,48.773
197,1.285,0.000,0.000,3.200,0.000,0.000,275.524,1.940,2.200,2.490,0.001,0.001,1.501,1.502,40.000,3.200,275.524,49.397,197.000,48.147
198,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.930,2.190,2.480,0.001,0.001,0.965,0.967,40.000,0.000,0.000,46.047,198.000,45.170
199,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.920,2.180,2.470,0.000,0.000,0.431,0.432,40.000,0.000,0.000,42.702,199.000,42.342
200,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.920,2.180,2.470,0.000,0.000,0.000,0.001,40.000,0.000,0.000,40.006,200.000,40.073
201,2.009,0.000,0.000,5.002,0.000,0.000,430.726,1.940,2.200,2.490,0.000,0.000,0.000,0.000,40.000,5.002,430.726,40.003,201.000,40.048
202,1.733,0.000,0.000,4.402,0.000,0.000,379.063,1.980,2.240,2.540,0.000,0.000,0.000,0.000,40.000,4.402,379.063,40.000,202.000,40.032
203,1.632,0.003,0.003,4.202,0.138,0.161,361.843,2.020,2.280,2.580,0.000,0.000,0.000,0.000,40.000,4.208,362.141,40.000,203.000,40.022
204,8.504,0.074,16.023,3.902,3.205,919.770,336.011,2.030,2.300,2.600,0.003,0.919,0.000,0.922,40.000,20.000,1258.986,48.649,204.000,44.998
205,6.723,0.000,11.857,4.002,0.000,680.633,344.622,2.020,2.290,2.590,0.003,1.597,0.000,1.600,40.000,15.860,1025.255,55.009,205.000,51.344
206,1.626,0.000,0.038,4.102,0.000,2.209,353.232,1.990,2.250,2.550,0.003,1.597,0.000,1.600,40.000,4.141,355.441,55.009,206.000,51.357
207,1.551,0.000,0.038,3.802,0.000,2.209,327.401,1.930,2.190,2.480,0.003,1.597,0.000,1.600,40.000,3.841,329.610,55.008,207.000,51.370
208,1.897,0.000,4.038,0.002,0.000,231.819,0.207,1.880,2.130,2.410,0.003,1.597,0.000,1.600,40.000,4.041,232.026,55.008,208.000,50.323
209,1.981,0.000,4.138,0.002,0.000,237.560,0.207,1.840,2.090,2.360,0.002,1.598,0.000,1.600,40.000,4.141,237.766,55.007,209.000,49.243
210,2.290,0.000,4.738,0.002,0.000,272.001,0.207,1.820,2.070,2.340,0.002,1.598,0.000,1.600,40.000,4.741,272.208,55.007,210.000,48.003
211,2.447,0.000,5.038,0.002,0.000,289.222,0.207,1.820,2.060,2.330,0.002,1.598,0.000,1.600,40.000,5.041,289.429,55.007,211.000,46.683
212,2.410,0.000,4.938,0.002,0.000,283.482,0.207,1.810,2.050,2.330,0.002,1.598,0.000,1.600,40.000,4.941,283.688,55.006,212.000,45.391
213,2.323,0.000,4.735,0.005,0.000,271.794,0.414,1.800,2.040,2.320,0.002,1.598,0.000,1.600,40.000,4.740,272.208,55.005,213.000,44.498
214,1.449,0.000,2.942,0.000,0.000,168.883,0.000,1.790,2.030,2.300,0.002,1.598,0.000,1.600,40.000,2.942,168.883,55.005,214.000,44.056
215,0.006,0.000,0.000,0.014,0.000,0.000,1.245,1.750,1.990,2.250,0.002,1.459,0.001,1.461,40.000,0.014,1.245,53.701,215.000,42.952
216,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.710,1.940,2.200,0.001,1.331,0.001,1.333,40.000,0.000,0.000,52.497,216.000,41.937
217,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.690,1.910,2.170,0.001,1.208,0.001,1.210,40.000,0.000,0.000,51.349,217.000,40.974
218,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.690,1.910,2.170,0.001,1.081,0.000,1.082,40.000,0.000,0.000,50.148,218.000,40.070
219,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.710,1.930,2.190,0.001,0.936,0.000,0.937,40.000,0.000,0.000,48.788,219.000,40.061
220,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.730,1.960,2.220,0.001,0.768,0.000,0.769,40.000,0.000,0.000,47.214,220.000,40.053
221,0.001,0.000,0.000,0.002,0.000,0.000,0.207,1.740,1.970,2.230,0.001,0.532,0.000,0.533,40.000,0.002,0.207,44.999,221.000,40.043
222,0.001,0.000,0.000,0.002,0.000,0.000,0.207,1.740,1.970,2.240,0.001,0.193,0.000,0.194,40.000,0.002,0.207,41.818,222.000,40.033
223,1.131,0.000,2.237,0.002,0.000,128.413,0.207,1.750,1.980,2.240,0.000,0.000,0.000,0.000,40.000,2.239,128.620,40.005,223.000,40.024
224,2.415,0.000,4.803,0.002,0.000,275.693,0.207,1.760,1.990,2.260,0.000,0.000,0.000,0.000,40.000,4.805,275.900,40.003,224.000,40.017
225,2.181,0.000,4.403,0.002,0.000,252.732,0.207,1.780,2.020,2.290,0.000,0.000,0.000,0.000,40.000,4.405,252.939,40.002,225.000,40.013
226,2.100,0.000,4.303,0.002,0.000,246.992,0.207,1.810,2.050,2.320,0.000,0.000,0.000,0.000,40.000,4.305,247.198,40.000,226.000,40.009
227,1.888,0.003,3.903,0.002,0.138,224.031,0.207,1.820,2.070,2.340,0.000,0.000,0.000,0.000,40.000,3.908,224.375,40.000,227.000,40.007
228,7.326,0.006,15.228,0.002,0.276,874.140,0.207,1.830,2.080,2.350,0.000,0.655,0.000,0.655,40.000,15.237,874.623,46.143,228.000,42.105
229,9.615,0.000,19.998,0.002,0.000,1147.913,0.207,1.830,2.080,2.360,0.000,1.600,0.000,1.600,40.000,20.000,1148.120,55.000,229.000,50.034
230,1.870,0.029,3.817,0.002,1.245,219.094,0.207,1.820,2.060,2.340,0.001,1.599,0.000,1.600,40.000,3.848,220.546,55.003,230.000,49.034
231,1.752,0.000,3.535,0.005,0.000,202.911,0.414,1.780,2.020,2.290,0.001,1.599,0.000,1.600,40.000,3.540,203.325,55.002,231.000,48.117
232,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.770,2.010,2.280,0.001,1.367,0.000,1.368,40.000,0.000,0.000,52.830,232.000,44.901
233,0.004,0.000,0.000,0.010,0.000,0.000,0.829,1.770,2.010,2.280,0.001,1.108,0.001,1.109,40.000,0.010,0.829,50.397,233.000,41.790
234,0.374,0.000,0.751,0.000,0.000,43.133,0.000,1.770,2.010,2.270,0.001,0.863,0.000,0.864,40.000,0.751,43.133,48.096,234.000,40.304
235,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.760,2.000,2.260,0.000,0.580,0.000,0.581,40.000,0.000,0.000,45.448,235.000,40.035
236,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.760,2.000,2.260,0.000,0.287,0.000,0.287,40.000,0.000,0.000,42.696,236.000,40.027
237,0.001,0.000,0.000,0.002,0.000,0.000,0.207,1.770,2.000,2.270,0.000,0.000,0.000,0.000,40.000,0.002,0.207,40.002,237.000,40.022
238,1.395,0.000,2.803,0.002,0.000,160.888,0.207,1.780,2.010,2.280,0.000,0.000,0.000,0.000,40.000,2.805,161.094,40.000,238.000,40.017
239,1.149,0.003,2.303,0.002,0.138,132.187,0.207,1.780,2.010,2.280,0.000,0.000,0.000,0.000,40.000,2.308,132.531,40.000,239.000,40.014
240,1.149,0.003,2.303,0.002,0.138,132.187,0.207,1.780,2.010,2.280,0.000,0.000,0.000,0.000,40.000,2.308,132.531,40.000,240.000,40.012
241,1.093,0.003,2.203,0.002,0.138,126.446,0.207,1.780,2.020,2.290,0.000,0.000,0.000,0.000,40.000,2.208,126.791,40.000,241.000,40.010
242,1.088,0.003,2.203,0.002,0.138,126.446,0.207,1.790,2.030,2.300,0.000,0.000,0.000,0.000,40.000,2.208,126.791,40.000,242.000,40.008
243,1.088,0.003,2.203,0.002,0.138,126.446,0.207,1.800,2.030,2.310,0.000,0.000,0.000,0.000,40.000,2.208,126.791,40.000,243.000,40.007
244,1.230,0.003,2.503,0.002,0.138,143.667,0.207,1.800,2.040,2.310,0.000,0.000,0.000,0.000,40.000,2.508,144.011,40.000,244.000,40.006
245,1.818,0.003,3.703,0.002,0.138,212.550,0.207,1.800,2.040,2.320,0.000,0.000,0.000,0.000,40.000,3.708,212.895,40.000,245.000,40.004
246,2.723,0.003,5.603,0.002,0.138,321.615,0.207,1.820,2.060,2.330,0.000,0.000,0.000,0.000,40.000,5.608,321.959,40.000,246.000,40.003
247,2.312,0.003,4.803,0.002,0.138,275.693,0.207,1.830,2.080,2.350,0.000,0.000,0.000,0.000,40.000,4.808,276.037,40.000,247.000,40.002
248,2.004,0.003,4.203,0.002,0.138,241.251,0.207,1.850,2.100,2.380,0.000,0.000,0.000,0.000,40.000,4.208,241.596,40.000,248.000,40.001
249,1.835,0.003,3.903,0.002,0.138,224.031,0.207,1.880,2.130,2.420,0.000,0.000,0.000,0.000,40.000,3.908,224.375,40.000,249.000,40.001
250,1.380,0.003,0.003,3.402,0.138,0.161,292.960,1.930,2.180,2.470,0.000,0.000,0.000,0.000,40.000,3.408,293.258,40.000,250.000,40.001
251,1.427,0.003,0.003,3.602,0.138,0.161,310.180,1.970,2.240,2.530,0.000,0.000,0.000,0.000,40.000,3.608,310.479,40.000,251.000,40.001
252,1.293,0.003,0.003,3.302,0.138,0.161,284.349,2.000,2.260,2.560,0.000,0.000,0.000,0.000,40.000,3.308,284.648,40.000,252.000,40.000
253,1.322,0.003,0.003,3.402,0.138,0.161,292.960,2.010,2.280,2.580,0.000,0.000,0.000,0.000,40.000,3.408,293.258,40.000,253.000,40.000
254,1.158,0.003,0.003,3.002,0.138,0.161,258.518,2.020,2.290,2.600,0.000,0.000,0.000,0.000,40.000,3.008,258.817,40.000,254.000,40.000
255,1.273,0.003,0.003,3.302,0.138,0.161,284.349,2.030,2.300,2.600,0.000,0.000,0.000,0.000,40.000,3.308,284.648,40.000,255.000,40.000
256,1.421,0.003,0.003,3.702,0.138,0.161,318.791,2.040,2.310,2.610,0.000,0.000,0.000,0.000,40.000,3.708,319.089,40.000,256.000,40.000
257,1.525,0.003,0.003,4.002,0.138,0.161,344.622,2.050,2.320,2.630,0.000,0.000,0.000,0.000,40.000,4.008,344.920,40.000,257.000,40.000
258,1.632,0.003,0.003,4.302,0.138,0.161,370.453,2.060,2.330,2.640,0.000,0.000,0.000,0.000,40.000,4.308,370.752,40.000,258.000,40.000
259,1.632,0.003,0.003,4.302,0.138,0.161,370.453,2.060,2.330,2.640,0.000,0.000,0.000,0.000,40.000,4.308,370.752,40.000,259.000,40.000
260,2.626,0.006,0.006,6.919,0.276,0.322,595.775,2.060,2.330,2.640,0.000,0.000,0.208,0.208,40.000,6.931,596.372,41.302,260.000,40.170
261,7.576,0.000,0.000,20.000,0.000,0.000,1722.076,2.060,2.330,2.640,0.000,0.000,1.600,1.600,40.000,20.000,1722.076,50.000,261.000,48.883
262,1.020,0.042,0.034,2.591,1.802,1.941,223.087,2.060,2.330,2.630,0.002,0.002,1.597,1.600,40.000,2.667,226.831,50.016,262.000,48.903
263,0.967,0.000,0.000,2.534,0.000,0.000,218.220,2.050,2.320,2.620,0.002,0.002,1.597,1.600,40.000,2.534,218.220,50.015,263.000,48.923
264,0.936,0.000,0.000,2.434,0.000,0.000,209.610,2.030,2.300,2.600,0.001,0.001,1.597,1.600,40.000,2.434,209.610,50.013,264.000,48.943
265,0.905,0.000,0.000,2.334,0.000,0.000,201.000,2.010,2.280,2.580,0.001,0.001,1.597,1.600,40.000,2.334,201.000,50.012,265.000,48.964
266,0.947,0.000,0.000,2.434,0.000,0.000,209.610,2.010,2.270,2.570,0.001,0.001,1.598,1.600,40.000,2.434,209.610,50.010,266.000,48.985
267,0.990,0.000,0.000,2.534,0.000,0.000,218.221,2.000,2.270,2.560,0.001,0.001,1.598,1.600,40.000,2.534,218.221,50.009,267.000,49.007
268,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.990,2.260,2.550,0.001,0.001,1.363,1.365,40.000,0.000,0.000,48.538,268.000,47.561
269,1.224,0.000,0.000,3.121,0.000,0.000,268.770,1.990,2.250,2.550,0.001,0.001,1.294,1.295,40.000,3.121,268.770,48.103,269.000,46.907
270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.980,2.240,2.540,0.001,0.000,0.836,0.837,40.000,0.000,0.000,45.238,270.000,44.175
271,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.970,2.230,2.530,0.000,0.000,0.388,0.388,40.000,0.000,0.000,42.431,271.000,41.500
272,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.970,2.230,2.520,0.000,0.000,0.000,0.000,40.000,0.000,0.000,40.005,272.000,40.021
273,1.694,0.000,0.000,4.302,0.000,0.000,370.453,1.980,2.250,2.540,0.000,0.000,0.000,0.000,40.000,4.302,370.453,40.002,273.000,40.015
274,1.481,0.000,0.003,3.802,0.000,0.161,327.401,2.010,2.280,2.570,0.000,0.000,0.000,0.000,40.000,3.805,327.562,40.000,274.000,40.011
275,1.460,0.003,0.003,3.802,0.138,0.161,327.401,2.040,2.310,2.610,0.000,0.000,0.000,0.000,40.000,3.808,327.700,40.000,275.000,40.007
276,1.329,0.003,0.003,3.502,0.138,0.161,301.570,2.060,2.330,2.640,0.000,0.000,0.000,0.000,40.000,3.508,301.868,40.000,276.000,40.005
277,1.443,0.003,0.003,3.802,0.138,0.161,327.401,2.060,2.330,2.640,0.000,0.000,0.000,0.000,40.000,3.808,327.700,40.000,277.000,40.004
278,1.443,0.003,0.003,3.802,0.138,0.161,327.401,2.060,2.330,2.640,0.000,0.000,0.000,0.000,40.000,3.808,327.700,40.000,278.000,40.003
279,1.400,0.003,0.003,3.702,0.138,0.161,318.791,2.070,2.340,2.650,0.000,0.000,0.000,0.000,40.000,3.708,319.089,40.000,279.000,40.002
280,1.583,0.003,0.003,4.202,0.138,0.161,361.843,2.080,2.360,2.660,0.000,0.000,0.000,0.000,40.000,4.208,362.141,40.000,280.000,40.001
281,1.571,0.003,0.003,4.202,0.138,0.161,361.843,2.090,2.370,2.680,0.000,0.000,0.000,0.000,40.000,4.208,362.141,40.000,281.000,40.001
282,1.846,0.032,0.003,4.902,1.384,0.161,422.115,2.100,2.370,2.680,0.001,0.000,0.000,0.001,40.000,4.937,423.660,40.016,282.000,40.003
283,1.793,0.000,0.003,4.802,0.000,0.161,413.505,2.090,2.370,2.680,0.001,0.000,0.000,0.001,40.000,4.805,413.666,40.014,283.000,40.005
284,7.156,0.000,0.014,19.161,0.000,0.806,1649.870,2.090,2.370,2.680,0.001,0.001,1.200,1.202,40.000,19.175,1650.675,47.519,284.000,45.654
285,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.090,2.360,2.670,0.001,0.000,0.785,0.787,40.000,0.000,0.000,44.923,285.000,43.715
286,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.080,2.360,2.670,0.001,0.000,0.509,0.510,40.000,0.000,0.000,43.192,286.000,42.426
287,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.070,2.350,2.660,0.001,0.000,0.276,0.276,40.000,0.000,0.000,41.732,287.000,41.342
288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2.070,2.350,2.650,0.000,0.000,0.000,0.000,40.000,0.000,0.000,40.005,288.000,40.068
289,1.243,0.000,0.003,3.302,0.000,0.161,284.349,2.080,2.360,2.660,0.000,0.000,0.000,0.000,40.000,3.305,284.510,40.003,289.000,40.050
290,1.313,0.000,0.003,3.502,0.000,0.161,301.570,2.080,2.360,2.670,0.000,0.000,0.000,0.000,40.000,3.505,301.731,40.002,290.000,40.037
291,1.275,0.000,0.003,3.402,0.000,0.161,292.960,2.080,2.360,2.670,0.000,0.000,0.000,0.000,40.000,3.405,293.120,40.000,291.000,40.027
292,1.427,0.003,0.003,3.802,0.138,0.161,327.401,2.080,2.360,2.670,0.000,0.000,0.000,0.000,40.000,3.808,327.700,40.000,292.000,40.019
293,2.138,0.003,0.003,5.702,0.138,0.161,490.998,2.080,2.360,2.670,0.000,0.000,0.000,0.000,40.000,5.708,491.297,40.000,293.000,40.012
294,2.670,0.003,0.003,7.202,0.138,0.161,620.154,2.110,2.390,2.700,0.000,0.000,0.000,0.000,40.000,7.208,620.453,40.000,294.000,40.007
295,2.494,0.003,0.003,6.802,0.138,0.161,585.713,2.140,2.420,2.730,0.000,0.000,0.000,0.000,40.000,6.808,586.011,40.000,295.000,40.004
296,2.177,0.003,0.003,6.002,0.138,0.161,516.829,2.150,2.440,2.760,0.000,0.000,0.000,0.000,40.000,6.008,517.128,40.000,296.000,40.002
297,2.025,0.003,0.003,5.602,0.138,0.161,482.388,2.170,2.460,2.770,0.000,0.000,0.000,0.000,40.000,5.608,482.686,40.000,297.000,40.001
298,1.903,0.003,0.003,5.302,0.138,0.161,456.557,2.180,2.470,2.790,0.000,0.000,0.000,0.000,40.000,5.308,456.855,40.000,298.000,40.001
299,1.932,0.003,0.003,5.402,0.138,0.161,465.167,2.190,2.480,2.800,0.000,0.000,0.000,0.000,40.000,5.408,465.466,40.000,299.000,40.001
300,1.789,0.003,0.003,5.002,0.138,0.161,430.726,2.190,2.480,2.800,0.000,0.000,0.000,0.000,40.000,5.008,431.024,40.000,300.000,40.000
301,1.968,0.003,0.003,5.502,0.138,0.161,473.778,2.190,2.480,2.800,0.000,0.000,0.000,0.000,40.000,5.508,474.076,40.000,301.000,40.000
302,1.789,0.003,0.003,5.002,0.138,0.161,430.726,2.190,2.480,2.800,0.000,0.000,0.000,0.000,40.000,5.008,431.024,40.000,302.000,40.000
303,1.718,0.003,0.003,4.802,0.138,0.161,413.505,2.190,2.480,2.800,0.000,0.000,0.000,0.000,40.000,4.808,413.803,40.000,303.000,40.000
304,2.075,0.003,0.003,5.802,0.138,0.161,499.609,2.190,2.480,2.800,0.000,0.000,0.000,0.000,40.000,5.808,499.907,40.000,304.000,40.000
305,7.362,0.127,13.240,5.502,5.479,760.001,473.778,2.190,2.480,2.800,0.005,0.759,0.000,0.764,40.000,18.870,1239.257,47.182,305.000,43.437
306,7.816,0.000,14.598,5.402,0.000,837.939,465.167,2.190,2.480,2.800,0.005,1.595,0.000,1.600,40.000,20.000,1303.106,55.016,306.000,51.277
307,2.310,0.000,0.038,6.402,0.000,2.209,551.271,2.180,2.470,2.790,0.005,1.595,0.000,1.600,40.000,6.441,553.480,55.016,307.000,51.292
308,2.438,0.000,0.000,6.728,0.000,0.000,579.312,2.160,2.440,2.760,0.005,1.593,0.002,1.600,40.000,6.728,579.312,55.008,308.000,51.309
309,2.547,0.000,0.000,6.928,0.000,0.000,596.533,2.130,2.410,2.720,0.005,1.591,0.004,1.600,40.000,6.928,596.533,55.001,309.000,51.326
310,1.460,0.000,0.000,3.928,0.000,0.000,338.222,2.100,2.380,2.690,0.005,1.589,0.007,1.600,40.000,3.928,338.222,54.994,310.000,51.342
311,1.172,0.000,0.000,3.128,0.000,0.000,269.340,2.080,2.360,2.670,0.004,1.587,0.009,1.600,40.000,3.128,269.340,54.986,311.000,51.358
312,1.241,0.000,0.000,3.300,0.000,0.000,284.151,2.080,2.350,2.660,0.004,1.585,0.000,1.589,40.000,3.300,284.151,54.910,312.000,51.273
313,1.337,0.000,0.000,3.556,0.000,0.000,306.177,2.080,2.350,2.660,0.004,1.583,0.013,1.600,40.000,3.556,306.177,54.972,313.000,51.345
314,1.188,0.000,0.000,3.149,0.000,0.000,271.152,2.070,2.350,2.650,0.004,1.581,0.000,1.585,40.000,3.149,271.152,54.868,314.000,51.218
315,1.437,0.000,0.000,3.807,0.000,0.000,327.783,2.070,2.340,2.650,0.004,1.579,0.018,1.600,40.000,3.807,327.783,54.957,315.000,51.315
316,1.602,0.000,0.000,4.228,0.000,0.000,364.058,2.060,2.330,2.640,0.004,1.576,0.020,1.600,40.000,4.228,364.058,54.950,316.000,51.337
317,2.301,0.000,0.000,6.028,0.000,0.000,519.046,2.050,2.320,2.620,0.004,1.574,0.022,1.600,40.000,6.028,519.046,54.943,317.000,51.361
318,3.344,0.000,0.000,8.728,0.000,0.000,751.527,2.030,2.300,2.610,0.003,1.572,0.024,1.600,40.000,8.728,751.527,54.936,318.000,51.384
319,2.972,0.000,0.000,7.728,0.000,0.000,665.424,2.020,2.290,2.600,0.003,1.570,0.026,1.600,40.000,7.728,665.424,54.928,319.000,51.404
320,2.354,0.000,0.000,6.097,0.000,0.000,524.970,2.020,2.290,2.590,0.003,1.568,0.000,1.572,40.000,6.097,524.970,54.743,320.000,51.132
321,2.704,0.000,0.000,7.002,0.000,0.000,602.933,2.020,2.290,2.590,0.003,1.566,0.000,1.569,40.000,7.002,602.933,54.722,321.000,51.112
322,2.568,0.000,0.000,6.702,0.000,0.000,577.102,2.030,2.300,2.610,0.003,1.564,0.000,1.567,40.000,6.702,577.102,54.701,322.000,51.101
323,2.291,0.000,0.000,6.002,0.000,0.000,516.829,2.050,2.320,2.620,0.003,1.562,0.000,1.565,40.000,6.002,516.829,54.681,323.000,51.094
324,2.636,0.000,0.648,6.202,0.000,37.195,534.050,2.060,2.330,2.630,0.003,1.597,0.000,1.600,40.000,6.850,571.245,55.008,324.000,51.406
325,2.231,0.000,0.038,5.802,0.000,2.209,499.609,2.050,2.320,2.620,0.003,1.597,0.000,1.600,40.000,5.841,501.818,55.008,325.000,51.460
326,2.033,0.000,0.038,5.202,0.000,2.209,447.946,2.010,2.280,2.580,0.002,1.598,0.000,1.600,40.000,5.241,450.156,55.007,326.000,51.499
327,2.369,0.000,0.038,5.902,0.000,2.209,508.219,1.960,2.220,2.510,0.002,1.598,0.000,1.600,40.000,5.941,510.428,55.007,327.000,51.535
328,2.620,0.000,0.038,6.402,0.000,2.209,551.271,1.920,2.180,2.460,0.002,1.598,0.000,1.600,40.000,6.441,553.480,55.007,328.000,51.566
329,3.228,0.000,6.938,0.002,0.000,398.287,0.207,1.890,2.150,2.430,0.002,1.598,0.000,1.600,40.000,6.941,398.493,55.006,329.000,49.750
330,3.259,0.000,6.938,0.002,0.000,398.287,0.207,1.880,2.130,2.410,0.002,1.598,0.000,1.600,40.000,6.941,398.493,55.006,330.000,47.928
331,3.543,0.000,7.438,0.002,0.000,426.988,0.207,1.850,2.100,2.380,0.002,1.598,0.000,1.600,40.000,7.441,427.195,55.005,331.000,45.969
332,0.001,0.000,0.000,0.002,0.000,0.000,0.207,1.830,2.080,2.360,0.002,1.097,0.000,1.099,40.000,0.002,0.207,50.308,332.000,41.163
333,7.701,0.000,16.011,0.007,0.000,919.088,0.621,1.830,2.080,2.360,0.001,1.550,0.000,1.551,40.000,16.018,919.709,54.547,333.000,43.172
334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.830,2.070,2.350,0.001,1.261,0.000,1.262,40.000,0.000,0.000,51.838,334.000,40.214
